Run_ID,Status,Cover_Density,Avg_Effectiveness,Distribution_Evenness,Clustering_Score,Type_Ratio,Sightline_Exposure,Symmetry_Delta,Navigable_Area,Chokepoint_Centrality
705,REJECTED,0.060,0.661,0.611,0.673,0.633,0.442,22.994,0.657,0.215
706,REJECTED,0.069,0.664,0.686,0.739,0.696,0.345,17.023,0.625,0.300
707,REJECTED,0.083,0.667,0.719,0.537,0.778,0.304,33.965,0.568,0.427
708,REJECTED,0.064,0.642,0.681,0.654,0.731,0.304,46.270,0.575,0.410
709,PASSED,0.061,0.675,0.652,0.674,0.761,0.407,10.638,0.669,0.240
710,REJECTED,0.074,0.659,0.707,0.750,0.750,0.387,23.029,0.626,0.449
711,PASSED,0.054,0.695,0.672,0.628,0.628,0.599,8.532,0.725,0.240
712,REJECTED,0.069,0.704,0.618,0.689,0.689,0.557,20.186,0.700,0.280
713,REJECTED,0.069,0.794,0.644,0.524,0.762,0.486,28.320,0.696,0.460
714,REJECTED,0.066,0.668,0.686,0.864,0.797,0.290,16.316,0.567,0.330
715,PASSED,0.062,0.671,0.628,0.644,0.622,0.381,1.450,0.645,0.310
716,PASSED,0.066,0.644,0.663,0.755,0.735,0.321,7.048,0.602,0.890
717,PASSED,0.061,0.732,0.611,0.705,0.795,0.415,7.645,0.677,0.360
718,PASSED,0.069,0.650,0.707,0.731,0.712,0.341,12.685,0.596,0.390
719,PASSED,0.055,0.714,0.664,0.682,0.614,0.625,10.014,0.728,0.290
720,REJECTED,0.061,0.745,0.688,0.455,0.727,0.500,18.157,0.704,0.320
721,PASSED,0.052,0.602,0.628,0.792,0.585,0.377,3.889,0.617,0.640
722,REJECTED,0.062,0.638,0.687,0.788,0.577,0.438,43.199,0.630,0.390
723,PASSED,0.067,0.679,0.704,0.760,0.720,0.426,6.722,0.650,0.320
724,REJECTED,0.062,0.583,0.673,0.698,0.660,0.286,23.665,0.568,0.610
725,REJECTED,0.058,0.730,0.652,0.696,0.783,0.469,25.033,0.684,0.380
726,REJECTED,0.078,0.696,0.616,0.729,0.750,0.448,21.310,0.643,0.281
727,REJECTED,0.070,0.699,0.776,0.729,0.729,0.393,19.561,0.647,1.080
728,PASSED,0.049,0.698,0.724,0.622,0.711,0.548,7.137,0.709,0.290
729,PASSED,0.059,0.763,0.657,0.767,0.674,0.570,3.770,0.721,0.270
730,PASSED,0.063,0.738,0.657,0.776,0.755,0.420,5.448,0.659,0.240
731,REJECTED,0.068,0.685,0.657,0.667,0.725,0.318,18.608,0.593,0.450
732,REJECTED,0.059,0.650,0.696,0.568,0.545,0.532,17.732,0.679,0.240
733,PASSED,0.060,0.668,0.630,0.696,0.630,0.402,6.347,0.648,0.190
734,PASSED,0.060,0.707,0.585,0.738,0.595,0.520,5.684,0.698,0.200
735,PASSED,0.061,0.750,0.666,0.357,0.667,0.610,10.716,0.726,0.170
736,REJECTED,0.075,0.663,0.682,0.667,0.759,0.340,39.844,0.595,0.300
737,PASSED,0.065,0.599,0.658,0.849,0.642,0.342,6.605,0.603,0.420
738,PASSED,0.079,0.705,0.690,0.736,0.755,0.373,5.301,0.613,0.430
739,PASSED,0.066,0.577,0.700,0.625,0.625,0.327,14.396,0.587,0.360
740,PASSED,0.052,0.750,0.665,0.535,0.698,0.569,14.419,0.724,0.210
741,REJECTED,0.062,0.674,0.611,0.673,0.735,0.346,19.991,0.626,0.460
742,REJECTED,0.068,0.726,0.657,0.667,0.622,0.522,20.913,0.694,0.350
743,REJECTED,0.071,0.723,0.594,0.413,0.717,0.533,30.718,0.693,0.180
744,PASSED,0.069,0.694,0.687,0.574,0.759,0.362,1.277,0.620,0.260
745,REJECTED,0.058,0.637,0.641,0.788,0.635,0.337,29.652,0.608,0.570
746,PASSED,0.056,0.702,0.681,0.512,0.628,0.574,10.760,0.719,0.300
747,PASSED,0.061,0.689,0.651,0.452,0.571,0.603,13.271,0.724,0.270
748,PASSED,0.057,0.647,0.676,0.654,0.673,0.399,4.675,0.621,0.350
749,PASSED,0.052,0.718,0.714,0.714,0.667,0.528,3.068,0.716,0.240
750,REJECTED,0.065,0.708,0.732,0.522,0.630,0.528,33.171,0.683,0.180
751,REJECTED,0.047,0.673,0.703,0.500,0.524,0.619,18.494,0.721,0.240
752,PASSED,0.074,0.660,0.667,0.490,0.647,0.447,7.094,0.639,0.320
753,PASSED,0.060,0.694,0.614,0.808,0.846,0.310,3.107,0.614,0.410
754,REJECTED,0.061,0.754,0.625,0.571,0.738,0.560,22.346,0.722,0.200
755,PASSED,0.057,0.636,0.670,0.654,0.596,0.424,2.246,0.633,0.340
756,REJECTED,0.061,0.739,0.777,0.556,0.667,0.554,25.250,0.704,0.290
757,PASSED,0.068,0.758,0.615,0.419,0.744,0.545,9.463,0.714,0.230
758,PASSED,0.045,0.686,0.666,0.571,0.595,0.611,1.554,0.730,0.330
759,REJECTED,0.066,0.653,0.738,0.618,0.782,0.283,10.037,0.565,0.590
760,PASSED,0.058,0.648,0.694,0.660,0.574,0.486,5.817,0.672,0.370
761,REJECTED,0.062,0.739,0.671,0.568,0.750,0.571,23.674,0.719,0.230
762,PASSED,0.057,0.654,0.691,0.636,0.800,0.355,9.595,0.617,0.600
763,PASSED,0.053,0.674,0.675,0.633,0.653,0.534,4.660,0.693,0.290
764,REJECTED,0.066,0.691,0.641,0.673,0.788,0.440,18.249,0.663,0.505
765,REJECTED,0.064,0.680,0.642,0.766,0.660,0.488,28.829,0.676,0.230
766,REJECTED,0.062,0.641,0.685,0.667,0.686,0.326,15.905,0.602,0.370
767,REJECTED,0.060,0.658,0.710,0.542,0.604,0.543,25.561,0.681,0.280
768,PASSED,0.075,0.646,0.679,0.849,0.604,0.382,0.294,0.599,0.310
769,REJECTED,0.066,0.698,0.650,0.750,0.731,0.421,30.528,0.654,0.237
770,PASSED,0.050,0.702,0.695,0.592,0.755,0.421,7.343,0.663,0.580
771,PASSED,0.067,0.635,0.688,0.633,0.633,0.513,12.537,0.677,0.303
772,PASSED,0.055,0.598,0.603,0.660,0.540,0.399,0.764,0.620,0.400
773,REJECTED,0.051,0.728,0.740,0.614,0.659,0.560,19.862,0.721,0.280
774,REJECTED,0.068,0.645,0.636,0.792,0.774,0.291,21.943,0.594,0.380
775,REJECTED,0.056,0.634,0.640,0.873,0.709,0.415,21.934,0.629,0.490
776,PASSED,0.067,0.622,0.665,0.712,0.615,0.314,12.121,0.592,0.600
777,REJECTED,0.056,0.662,0.630,0.739,0.630,0.443,29.200,0.657,0.330
778,REJECTED,0.068,0.717,0.595,0.489,0.644,0.441,21.642,0.665,0.310
779,REJECTED,0.066,0.647,0.760,0.811,0.830,0.270,14.378,0.573,0.510
780,REJECTED,0.066,0.723,0.637,0.419,0.744,0.499,24.928,0.702,0.400
781,PASSED,0.055,0.729,0.631,0.628,0.674,0.553,7.217,0.718,0.290
782,PASSED,0.067,0.634,0.714,0.759,0.690,0.318,12.262,0.577,0.400
783,REJECTED,0.062,0.658,0.685,0.784,0.765,0.348,19.431,0.617,0.330
784,PASSED,0.065,0.590,0.632,0.722,0.722,0.332,14.721,0.600,0.290
785,REJECTED,0.053,0.679,0.602,0.591,0.614,0.552,34.170,0.695,0.370
786,PASSED,0.069,0.765,0.640,0.652,0.783,0.463,11.768,0.681,0.500
787,PASSED,0.065,0.708,0.695,0.511,0.733,0.473,8.274,0.678,0.170
788,REJECTED,0.055,0.664,0.579,0.729,0.708,0.386,25.270,0.631,0.350
789,PASSED,0.069,0.737,0.650,0.605,0.721,0.567,14.748,0.716,0.200
790,PASSED,0.070,0.589,0.687,0.635,0.596,0.355,10.188,0.597,0.490
791,REJECTED,0.056,0.737,0.651,0.500,0.762,0.527,16.988,0.726,0.230
792,REJECTED,0.064,0.678,0.668,0.592,0.735,0.377,23.693,0.639,0.450
793,PASSED,0.061,0.629,0.563,0.660,0.617,0.482,0.238,0.675,0.480
794,REJECTED,0.069,0.725,0.612,0.771,0.750,0.393,35.164,0.643,0.330
795,PASSED,0.051,0.639,0.657,0.725,0.784,0.350,0.146,0.628,0.530
796,REJECTED,0.070,0.767,0.678,0.674,0.761,0.482,22.543,0.681,0.210
797,PASSED,0.063,0.650,0.694,0.635,0.673,0.381,9.598,0.622,0.370
798,REJECTED,0.083,0.697,0.669,0.947,0.789,0.250,2.314,0.565,0.310
799,REJECTED,0.070,0.589,0.729,0.649,0.632,0.342,36.562,0.584,0.474
800,PASSED,0.060,0.647,0.603,0.735,0.633,0.431,11.805,0.639,0.420
801,REJECTED,0.083,0.588,0.806,0.850,0.700,0.297,22.500,0.543,0.427
802,PASSED,0.056,0.635,0.655,0.542,0.521,0.549,2.980,0.684,0.380
803,PASSED,0.055,0.680,0.637,0.744,0.674,0.565,4.481,0.724,0.240
804,REJECTED,0.077,0.620,0.690,0.717,0.604,0.386,29.776,0.588,0.380
805,REJECTED,0.069,0.663,0.688,0.653,0.694,0.333,35.115,0.605,0.390
806,REJECTED,0.067,0.714,0.702,0.609,0.696,0.514,21.601,0.690,0.280
807,REJECTED,0.071,0.640,0.699,0.907,0.685,0.347,11.481,0.576,0.300
808,REJECTED,0.072,0.583,0.727,0.672,0.621,0.310,25.057,0.585,0.440
809,PASSED,0.053,0.750,0.678,0.674,0.739,0.426,7.391,0.663,0.420
810,REJECTED,0.058,0.604,0.656,0.768,0.786,0.278,12.156,0.574,0.888
811,PASSED,0.059,0.635,0.740,0.636,0.523,0.618,3.548,0.708,0.200
812,REJECTED,0.056,0.664,0.644,0.720,0.640,0.402,36.259,0.631,0.263
813,PASSED,0.064,0.706,0.702,0.673,0.735,0.459,5.262,0.671,0.300
814,REJECTED,0.075,0.787,0.664,0.591,0.841,0.480,18.579,0.695,0.460
815,PASSED,0.062,0.704,0.639,0.708,0.771,0.437,9.397,0.669,0.490
816,REJECTED,0.068,0.704,0.691,0.745,0.725,0.430,23.719,0.653,0.273
817,PASSED,0.060,0.592,0.663,0.774,0.604,0.387,9.740,0.610,0.865
818,REJECTED,0.062,0.725,0.635,0.848,0.804,0.345,22.272,0.638,0.440
819,REJECTED,0.068,0.618,0.612,0.764,0.673,0.428,15.972,0.637,0.390
820,REJECTED,0.069,0.638,0.665,0.769,0.692,0.302,24.416,0.577,0.440
821,PASSED,0.054,0.749,0.674,0.357,0.762,0.535,9.760,0.724,0.240
822,PASSED,0.076,0.715,0.622,0.660,0.723,0.415,13.058,0.647,0.240
823,REJECTED,0.067,0.601,0.662,0.870,0.685,0.375,34.939,0.609,0.380
824,REJECTED,0.068,0.630,0.722,0.764,0.745,0.361,18.826,0.607,0.240
825,REJECTED,0.065,0.732,0.695,0.633,0.755,0.396,20.850,0.655,0.570
826,REJECTED,0.063,0.700,0.706,0.636,0.705,0.448,15.369,0.666,0.200
827,REJECTED,0.058,0.693,0.607,0.784,0.745,0.330,30.678,0.619,0.490
828,REJECTED,0.074,0.596,0.719,0.821,0.643,0.309,13.720,0.548,0.950
829,PASSED,0.069,0.658,0.705,0.745,0.608,0.435,8.421,0.635,0.290
830,REJECTED,0.055,0.733,0.603,0.262,0.714,0.589,14.047,0.734,0.190
831,REJECTED,0.078,0.641,0.673,0.569,0.667,0.310,28.227,0.584,0.540
832,REJECTED,0.055,0.595,0.642,0.745,0.627,0.293,31.822,0.582,0.460
833,REJECTED,0.073,0.766,0.696,0.364,0.750,0.437,15.605,0.667,0.250
834,PASSED,0.062,0.650,0.641,0.731,0.731,0.413,11.453,0.640,0.470
835,PASSED,0.059,0.763,0.644,0.659,0.773,0.425,8.124,0.679,0.320
836,PASSED,0.065,0.607,0.665,0.640,0.580,0.435,13.705,0.635,0.390
837,REJECTED,0.067,0.673,0.676,0.654,0.712,0.369,35.487,0.630,0.370
838,REJECTED,0.061,0.647,0.694,0.596,0.673,0.329,22.155,0.614,0.300
839,PASSED,0.043,0.716,0.637,0.595,0.667,0.596,4.583,0.736,0.460
840,REJECTED,0.053,0.747,0.666,0.262,0.714,0.569,4.922,0.728,0.430
841,PASSED,0.076,0.640,0.710,0.719,0.737,0.323,5.482,0.569,0.610
842,REJECTED,0.066,0.657,0.750,0.667,0.625,0.373,26.268,0.620,0.330
843,REJECTED,0.071,0.668,0.654,0.640,0.720,0.399,20.122,0.630,0.250
844,PASSED,0.059,0.699,0.664,0.659,0.636,0.599,11.646,0.716,0.310
845,REJECTED,0.051,0.695,0.744,0.522,0.717,0.456,28.423,0.679,0.271
846,REJECTED,0.071,0.668,0.637,0.633,0.694,0.432,39.288,0.645,0.310
847,REJECTED,0.060,0.554,0.641,0.827,0.654,0.277,6.054,0.577,0.430
848,PASSED,0.070,0.650,0.655,0.604,0.646,0.331,3.920,0.611,0.406
849,REJECTED,0.063,0.661,0.600,0.760,0.720,0.320,30.621,0.606,0.290
850,PASSED,0.071,0.659,0.670,0.673,0.692,0.353,9.359,0.595,0.330
851,REJECTED,0.053,0.687,0.631,0.535,0.581,0.611,37.020,0.722,0.380
852,REJECTED,0.069,0.725,0.688,0.455,0.727,0.569,19.655,0.707,0.260
853,REJECTED,0.066,0.605,0.636,0.673,0.673,0.348,28.515,0.598,0.340
854,REJECTED,0.064,0.745,0.712,0.283,0.652,0.499,14.413,0.685,0.380
855,PASSED,0.057,0.681,0.672,0.681,0.617,0.502,6.653,0.682,0.200
856,REJECTED,0.069,0.622,0.669,0.729,0.729,0.284,40.653,0.549,0.640
857,PASSED,0.054,0.699,0.658,0.381,0.595,0.628,12.048,0.731,0.340
858,PASSED,0.057,0.687,0.713,0.511,0.644,0.526,5.227,0.699,0.260
859,PASSED,0.058,0.666,0.642,0.608,0.745,0.340,12.273,0.616,0.420
860,REJECTED,0.078,0.623,0.669,0.643,0.714,0.289,10.113,0.565,0.464
861,REJECTED,0.057,0.655,0.694,0.821,0.750,0.338,22.561,0.603,0.350
862,PASSED,0.060,0.688,0.639,0.604,0.688,0.467,0.595,0.677,0.350
863,REJECTED,0.063,0.644,0.642,0.667,0.667,0.366,43.444,0.623,0.610
864,PASSED,0.059,0.589,0.593,0.612,0.510,0.408,11.897,0.624,0.263
865,REJECTED,0.071,0.670,0.627,0.673,0.776,0.319,25.740,0.604,0.420
866,PASSED,0.052,0.702,0.653,0.702,0.638,0.486,6.869,0.681,0.310
867,REJECTED,0.065,0.710,0.680,0.771,0.750,0.444,20.283,0.662,0.310
868,REJECTED,0.058,0.777,0.651,0.476,0.762,0.557,20.218,0.726,0.190
869,PASSED,0.074,0.678,0.739,0.712,0.692,0.354,10.422,0.620,0.270
870,REJECTED,0.070,0.587,0.628,0.815,0.630,0.280,16.190,0.555,0.540
871,REJECTED,0.072,0.608,0.676,0.673,0.596,0.343,24.468,0.580,0.340
872,PASSED,0.055,0.673,0.694,0.583,0.625,0.434,12.653,0.654,0.420
873,REJECTED,0.080,0.629,0.653,0.698,0.736,0.263,30.223,0.561,0.530
874,PASSED,0.061,0.766,0.688,0.705,0.727,0.480,5.275,0.680,0.350
875,REJECTED,0.076,0.664,0.685,0.764,0.745,0.256,13.227,0.552,0.471
876,REJECTED,0.056,0.706,0.664,0.711,0.689,0.563,20.324,0.711,0.230
877,PASSED,0.065,0.718,0.686,0.511,0.733,0.483,1.944,0.686,0.310
878,PASSED,0.071,0.765,0.611,0.727,0.727,0.537,12.722,0.704,0.450
879,REJECTED,0.079,0.543,0.648,0.825,0.579,0.272,2.236,0.536,0.570
880,PASSED,0.067,0.614,0.649,0.792,0.736,0.323,5.538,0.596,0.370
881,REJECTED,0.068,0.688,0.657,0.784,0.784,0.381,42.616,0.635,0.410
882,REJECTED,0.062,0.581,0.706,0.742,0.677,0.273,11.685,0.548,0.440
883,REJECTED,0.075,0.638,0.724,0.528,0.736,0.361,15.228,0.607,0.541
884,PASSED,0.073,0.541,0.640,0.667,0.617,0.301,5.892,0.558,0.465
885,PASSED,0.070,0.677,0.665,0.800,0.700,0.478,3.548,0.669,0.380
886,REJECTED,0.075,0.640,0.687,0.796,0.704,0.331,42.958,0.585,0.280
887,REJECTED,0.073,0.573,0.625,0.741,0.704,0.292,3.289,0.589,0.950
888,PASSED,0.061,0.623,0.641,0.735,0.592,0.403,14.408,0.631,0.560
889,PASSED,0.074,0.613,0.735,0.648,0.667,0.352,10.556,0.585,0.470
890,PASSED,0.061,0.640,0.607,0.680,0.620,0.376,5.372,0.618,0.360
891,PASSED,0.050,0.708,0.637,0.619,0.643,0.615,0.203,0.731,0.180
892,REJECTED,0.061,0.623,0.687,0.731,0.692,0.320,26.669,0.602,0.270
893,REJECTED,0.052,0.626,0.612,0.927,0.764,0.318,29.112,0.590,0.330
894,REJECTED,0.061,0.731,0.626,0.721,0.698,0.561,19.504,0.710,0.220
895,REJECTED,0.069,0.648,0.699,0.944,0.759,0.370,0.012,0.615,0.420
896,PASSED,0.056,0.726,0.674,0.500,0.667,0.589,5.447,0.724,0.150
897,PASSED,0.056,0.740,0.677,0.463,0.634,0.598,3.111,0.726,0.230
898,PASSED,0.060,0.731,0.713,0.444,0.711,0.548,9.558,0.712,0.210
899,PASSED,0.072,0.647,0.732,0.717,0.698,0.368,4.680,0.607,0.280
900,PASSED,0.068,0.629,0.685,0.490,0.627,0.384,7.814,0.615,0.350
901,PASSED,0.064,0.665,0.704,0.720,0.740,0.307,1.471,0.597,0.320
902,PASSED,0.075,0.708,0.710,0.776,0.735,0.399,7.895,0.642,0.770
903,PASSED,0.067,0.691,0.658,0.761,0.696,0.439,8.184,0.660,0.270
904,REJECTED,0.048,0.656,0.770,0.283,0.609,0.528,1.760,0.698,0.250
905,PASSED,0.052,0.739,0.657,0.512,0.628,0.620,1.355,0.725,0.160
906,PASSED,0.065,0.647,0.760,0.755,0.642,0.402,14.189,0.616,0.270
907,PASSED,0.065,0.666,0.652,0.784,0.745,0.373,6.619,0.615,0.560
908,REJECTED,0.069,0.726,0.732,0.739,0.717,0.442,23.961,0.663,0.210
909,REJECTED,0.063,0.758,0.674,0.429,0.762,0.542,27.048,0.715,0.340
910,PASSED,0.062,0.623,0.677,0.660,0.600,0.426,6.272,0.641,0.400
911,REJECTED,0.079,0.676,0.759,0.596,0.731,0.372,24.904,0.612,0.310
912,PASSED,0.051,0.753,0.706,0.568,0.750,0.546,13.131,0.723,0.230
913,PASSED,0.058,0.740,0.637,0.714,0.690,0.546,11.523,0.711,0.400
914,PASSED,0.057,0.623,0.691,0.667,0.706,0.318,5.125,0.608,0.310
915,PASSED,0.068,0.672,0.679,0.784,0.725,0.359,11.420,0.614,0.290
916,REJECTED,0.066,0.753,0.625,0.452,0.714,0.569,33.190,0.714,0.210
917,REJECTED,0.069,0.604,0.682,0.685,0.593,0.393,38.834,0.600,0.495
918,PASSED,0.067,0.659,0.679,0.686,0.745,0.380,6.007,0.628,0.480
919,PASSED,0.061,0.667,0.654,0.700,0.720,0.348,12.694,0.620,0.350
920,PASSED,0.064,0.697,0.702,0.688,0.688,0.413,4.758,0.644,0.270
921,PASSED,0.051,0.755,0.582,0.698,0.721,0.569,9.413,0.730,0.300
922,PASSED,0.067,0.654,0.685,0.800,0.764,0.317,11.796,0.583,0.370
923,REJECTED,0.074,0.740,0.678,0.600,0.822,0.410,15.920,0.657,0.350
924,PASSED,0.050,0.772,0.627,0.705,0.818,0.581,3.790,0.741,0.250
925,PASSED,0.055,0.717,0.716,0.614,0.705,0.465,12.992,0.681,0.340
926,PASSED,0.064,0.576,0.652,0.685,0.630,0.314,7.522,0.576,0.364
927,PASSED,0.063,0.707,0.625,0.587,0.761,0.342,13.714,0.635,0.420
928,PASSED,0.073,0.639,0.681,0.673,0.731,0.308,0.700,0.577,0.580
929,PASSED,0.055,0.688,0.678,0.489,0.711,0.483,9.028,0.689,0.220
930,REJECTED,0.067,0.681,0.635,0.580,0.660,0.409,34.116,0.624,0.320
931,REJECTED,0.084,0.617,0.644,0.527,0.636,0.300,37.099,0.560,0.463
932,REJECTED,0.058,0.630,0.719,0.500,0.604,0.406,16.575,0.633,0.410
933,REJECTED,0.066,0.728,0.658,0.609,0.739,0.477,19.188,0.677,0.330
934,REJECTED,0.070,0.747,0.620,0.628,0.767,0.516,19.096,0.709,0.220
935,PASSED,0.074,0.666,0.743,0.741,0.741,0.403,13.061,0.621,0.240
936,PASSED,0.061,0.807,0.746,0.372,0.860,0.508,2.769,0.718,0.160
937,REJECTED,0.070,0.626,0.673,0.741,0.724,0.323,22.272,0.579,0.550
938,REJECTED,0.057,0.719,0.671,0.587,0.739,0.468,34.768,0.682,0.450
939,PASSED,0.065,0.692,0.660,0.712,0.750,0.380,3.704,0.618,0.380
940,PASSED,0.059,0.687,0.657,0.568,0.636,0.549,1.634,0.710,0.270
941,PASSED,0.064,0.657,0.651,0.511,0.556,0.501,0.206,0.678,0.220
942,PASSED,0.049,0.698,0.666,0.690,0.714,0.549,5.410,0.727,0.240
943,PASSED,0.053,0.609,0.679,0.804,0.627,0.378,13.793,0.628,0.340
944,REJECTED,0.063,0.621,0.700,0.692,0.692,0.419,25.539,0.649,0.278
945,REJECTED,0.069,0.656,0.711,0.700,0.720,0.321,15.468,0.607,0.410
946,REJECTED,0.071,0.742,0.688,0.682,0.750,0.516,26.256,0.703,0.240
947,REJECTED,0.069,0.634,0.702,0.729,0.604,0.332,16.446,0.613,0.470
948,REJECTED,0.067,0.690,0.637,0.694,0.694,0.496,44.542,0.675,0.230
949,REJECTED,0.054,0.680,0.611,0.571,0.714,0.334,21.417,0.617,0.430
950,REJECTED,0.067,0.652,0.724,0.811,0.660,0.394,48.053,0.632,0.330
951,PASSED,0.060,0.694,0.671,0.523,0.659,0.606,8.528,0.722,0.232
952,REJECTED,0.055,0.648,0.678,0.500,0.652,0.613,32.222,0.715,0.450
953,REJECTED,0.067,0.715,0.614,0.524,0.667,0.540,28.446,0.706,0.360
954,REJECTED,0.059,0.666,0.671,0.614,0.614,0.556,16.107,0.702,0.320
955,PASSED,0.061,0.648,0.703,0.736,0.698,0.367,4.488,0.624,0.240
956,REJECTED,0.074,0.632,0.677,0.724,0.759,0.254,26.375,0.546,0.660
957,REJECTED,0.049,0.679,0.639,0.778,0.600,0.523,20.230,0.694,0.320
958,REJECTED,0.063,0.702,0.671,0.711,0.667,0.586,26.483,0.712,0.440
959,PASSED,0.074,0.656,0.752,0.815,0.722,0.388,3.713,0.611,0.310
960,PASSED,0.068,0.722,0.729,0.583,0.813,0.365,2.455,0.639,0.290
961,PASSED,0.052,0.704,0.619,0.476,0.667,0.580,4.900,0.725,0.360
962,REJECTED,0.074,0.700,0.644,0.646,0.729,0.371,21.019,0.625,0.450
963,PASSED,0.068,0.728,0.694,0.674,0.739,0.424,0.558,0.660,0.330
964,REJECTED,0.059,0.678,0.710,0.642,0.755,0.392,34.951,0.640,0.250
965,PASSED,0.067,0.675,0.642,0.660,0.745,0.394,1.491,0.637,0.360
966,REJECTED,0.058,0.658,0.677,0.740,0.720,0.454,27.181,0.659,0.260
967,REJECTED,0.054,0.694,0.631,0.524,0.571,0.596,16.779,0.723,0.240
968,PASSED,0.070,0.658,0.715,0.709,0.745,0.324,12.906,0.595,0.460
969,PASSED,0.057,0.725,0.727,0.500,0.682,0.570,1.883,0.719,0.580
970,PASSED,0.069,0.612,0.632,0.811,0.642,0.350,0.045,0.588,0.410
971,PASSED,0.057,0.703,0.637,0.612,0.735,0.368,1.768,0.640,0.200
972,REJECTED,0.060,0.631,0.684,0.736,0.660,0.366,23.041,0.613,0.530
973,REJECTED,0.060,0.674,0.633,0.788,0.865,0.347,26.946,0.633,0.410
974,REJECTED,0.062,0.693,0.681,0.865,0.731,0.345,27.392,0.609,0.500
975,REJECTED,0.055,0.602,0.640,0.778,0.722,0.250,8.582,0.573,0.530
976,PASSED,0.048,0.712,0.720,0.488,0.605,0.644,9.755,0.732,0.430
977,REJECTED,0.061,0.623,0.640,0.585,0.717,0.352,24.834,0.613,0.290
978,PASSED,0.062,0.735,0.657,0.409,0.682,0.515,8.487,0.699,0.210
979,REJECTED,0.060,0.572,0.649,0.811,0.528,0.347,40.198,0.593,0.570
980,PASSED,0.057,0.660,0.644,0.771,0.646,0.434,0.948,0.653,0.390
981,REJECTED,0.071,0.655,0.628,0.630,0.685,0.320,15.137,0.582,0.400
982,REJECTED,0.071,0.642,0.719,0.750,0.714,0.350,29.727,0.603,0.880
983,REJECTED,0.064,0.640,0.627,0.807,0.772,0.305,25.658,0.591,0.350
984,PASSED,0.057,0.600,0.561,0.553,0.766,0.359,3.904,0.637,0.450
985,REJECTED,0.062,0.659,0.603,0.740,0.660,0.318,21.312,0.603,0.354
986,PASSED,0.055,0.679,0.679,0.477,0.591,0.478,12.375,0.673,0.190
987,PASSED,0.073,0.671,0.605,0.778,0.759,0.303,8.812,0.581,0.380
988,REJECTED,0.060,0.773,0.679,0.545,0.750,0.560,23.603,0.711,0.200
989,PASSED,0.063,0.723,0.665,0.465,0.674,0.535,11.684,0.703,0.240
990,REJECTED,0.066,0.631,0.702,0.750,0.563,0.442,37.597,0.638,0.350
991,PASSED,0.064,0.736,0.664,0.622,0.689,0.424,14.213,0.664,0.650
992,PASSED,0.059,0.724,0.650,0.698,0.674,0.539,10.210,0.710,0.250
993,PASSED,0.066,0.666,0.702,0.592,0.653,0.400,4.808,0.629,0.400
994,PASSED,0.062,0.694,0.644,0.682,0.682,0.551,9.980,0.714,0.280
995,PASSED,0.070,0.740,0.616,0.614,0.705,0.526,10.936,0.698,0.210
996,PASSED,0.053,0.697,0.709,0.605,0.651,0.562,4.124,0.713,0.220
997,PASSED,0.066,0.654,0.679,0.574,0.681,0.384,5.960,0.637,0.230
998,REJECTED,0.058,0.697,0.644,0.721,0.628,0.596,23.565,0.719,0.220
999,PASSED,0.078,0.652,0.737,0.684,0.719,0.319,11.750,0.578,0.350
1000,PASSED,0.060,0.647,0.639,0.740,0.740,0.335,13.271,0.615,0.340
