Run_ID,Status,Cover_Density,Avg_Effectiveness,Distribution_Evenness,Clustering_Score,Type_Ratio,Sightline_Exposure,Symmetry_Delta,Navigable_Area,Chokepoint_Centrality
473,REJECTED,0.066,0.713,0.609,0.830,0.830,0.449,22.394,0.673,0.350
474,PASSED,0.056,0.681,0.651,0.595,0.595,0.583,5.136,0.716,0.290
475,PASSED,0.057,0.704,0.702,0.617,0.681,0.539,8.902,0.692,0.188
476,PASSED,0.069,0.634,0.632,0.698,0.736,0.345,12.341,0.606,0.240
477,REJECTED,0.058,0.688,0.637,0.660,0.745,0.312,27.915,0.615,0.560
478,PASSED,0.057,0.646,0.695,0.531,0.673,0.469,2.736,0.661,0.380
479,PASSED,0.074,0.705,0.720,0.723,0.702,0.455,8.503,0.660,0.280
480,REJECTED,0.060,0.685,0.740,0.591,0.568,0.618,27.287,0.710,0.240
481,PASSED,0.057,0.625,0.706,0.821,0.768,0.303,5.087,0.600,0.740
482,REJECTED,0.071,0.681,0.658,0.696,0.696,0.471,20.547,0.660,0.250
483,PASSED,0.056,0.711,0.686,0.745,0.723,0.460,1.878,0.683,0.250
484,REJECTED,0.070,0.704,0.600,0.857,0.816,0.351,28.706,0.632,0.260
485,PASSED,0.064,0.729,0.620,0.500,0.739,0.485,13.597,0.685,0.350
486,REJECTED,0.065,0.719,0.627,0.636,0.727,0.465,30.690,0.680,0.230
487,PASSED,0.070,0.660,0.705,0.608,0.725,0.351,4.958,0.614,0.490
488,PASSED,0.065,0.712,0.644,0.563,0.729,0.407,4.961,0.641,0.220
489,PASSED,0.056,0.627,0.632,0.617,0.574,0.474,11.495,0.669,0.310
490,PASSED,0.062,0.651,0.689,0.520,0.680,0.426,0.580,0.645,0.190
491,PASSED,0.056,0.695,0.696,0.523,0.545,0.578,5.366,0.704,0.290
492,REJECTED,0.062,0.690,0.741,0.553,0.660,0.508,15.656,0.679,0.350
493,PASSED,0.066,0.591,0.593,0.745,0.647,0.328,3.092,0.591,0.410
494,REJECTED,0.068,0.623,0.698,0.784,0.725,0.323,15.434,0.602,0.660
495,PASSED,0.065,0.696,0.678,0.622,0.667,0.478,6.843,0.683,0.260
496,PASSED,0.059,0.688,0.686,0.652,0.674,0.490,11.367,0.691,0.172
497,PASSED,0.070,0.613,0.675,0.612,0.531,0.514,11.704,0.653,0.378
498,PASSED,0.062,0.673,0.702,0.511,0.574,0.493,10.262,0.659,0.240
499,REJECTED,0.066,0.678,0.659,0.660,0.700,0.361,27.679,0.636,0.660
500,PASSED,0.053,0.762,0.654,0.400,0.650,0.617,6.709,0.737,0.180
501,REJECTED,0.061,0.708,0.761,0.488,0.605,0.545,34.231,0.702,0.370
502,REJECTED,0.053,0.698,0.657,0.622,0.644,0.593,22.381,0.718,0.280
503,REJECTED,0.074,0.683,0.685,0.725,0.745,0.367,34.226,0.629,0.454
504,REJECTED,0.059,0.591,0.654,0.700,0.540,0.353,15.802,0.604,0.480
505,REJECTED,0.060,0.563,0.636,0.818,0.564,0.378,31.876,0.604,0.600
506,PASSED,0.066,0.603,0.716,0.702,0.702,0.328,14.149,0.595,0.474
507,PASSED,0.053,0.735,0.651,0.711,0.711,0.566,9.140,0.714,0.180
